#    L    TT             EE             BB             TE          
   276    4.82185E+03    5.28487E+00    2.43854E-02    9.97154E+01
   277    4.77852E+03    5.42789E+00    2.45321E-02    1.00663E+02
   278    4.74944E+03    5.56748E+00    2.47311E-02    1.02059E+02
   279    4.73616E+03    5.69772E+00    2.49211E-02    1.03446E+02
   280    4.71817E+03    5.82943E+00    2.49765E-02    1.04429E+02
   281    4.67927E+03    5.97765E+00    2.50157E-02    1.05210E+02
   282    4.64055E+03    6.14326E+00    2.50990E-02    1.06219E+02
   283    4.60445E+03    6.29329E+00    2.53358E-02    1.07130E+02
   284    4.57341E+03    6.41546E+00    2.56403E-02    1.07818E+02
   285    4.54819E+03    6.53856E+00    2.57430E-02    1.08530E+02
   286    4.51946E+03    6.69587E+00    2.57933E-02    1.09475E+02
   287    4.48392E+03    6.86820E+00    2.59296E-02    1.10452E+02
   288    4.45123E+03    7.04708E+00    2.60481E-02    1.11396E+02
   289    4.42312E+03    7.23262E+00    2.61794E-02    1.12288E+02
   290    4.38133E+03    7.39572E+00    2.62834E-02    1.12753E+02
   291    4.35160E+03    7.54115E+00    2.63523E-02    1.13335E+02
   292    4.32609E+03    7.69412E+00    2.65032E-02    1.14070E+02
   293    4.28870E+03    7.85666E+00    2.67380E-02    1.14706E+02
   294    4.25422E+03    8.02725E+00    2.69098E-02    1.15255E+02
   295    4.21857E+03    8.20190E+00    2.70079E-02    1.15599E+02
   296    4.18639E+03    8.39203E+00    2.71166E-02    1.16330E+02
   297    4.15963E+03    8.57388E+00    2.72440E-02    1.17122E+02
   298    4.12910E+03    8.74294E+00    2.74219E-02    1.17461E+02
   299    4.09478E+03    8.91810E+00    2.75917E-02    1.17698E+02
   300    4.06987E+03    9.10654E+00    2.77138E-02    1.18342E+02
   301    4.04345E+03    9.30740E+00    2.78482E-02    1.18960E+02
   302    4.00773E+03    9.51127E+00    2.79799E-02    1.19419E+02
   303    3.97138E+03    9.68563E+00    2.80769E-02    1.19692E+02
   304    3.93188E+03    9.82560E+00    2.81241E-02    1.19603E+02
   305    3.89530E+03    9.97301E+00    2.82084E-02    1.19619E+02
   306    3.86109E+03    1.01567E+01    2.84159E-02    1.19888E+02
   307    3.82149E+03    1.03418E+01    2.86379E-02    1.19792E+02
