#    L    TT             EE             BB             TE
   243    5.50608E+03    1.89282E+00    1.92048E-02    5.14236E+01
   244    5.54135E+03    1.93959E+00    1.94441E-02    5.36463E+01
   245    5.54644E+03    2.00862E+00    1.96082E-02    5.51360E+01
   246    5.49735E+03    2.08932E+00    1.97496E-02    5.66668E+01
   247    5.49210E+03    2.12015E+00    1.98921E-02    5.78089E+01
   248    5.50992E+03    2.25899E+00    2.01125E-02    6.09501E+01
   249    5.43857E+03    2.31321E+00    2.00635E-02    6.17259E+01
   250    5.40767E+03    2.38356E+00    2.01779E-02    6.28210E+01
   251    5.43763E+03    2.49564E+00    2.05244E-02    6.50932E+01
   252    5.38993E+03    2.55115E+00    2.07125E-02    6.63001E+01
   253    5.37066E+03    2.66511E+00    2.07358E-02    6.84451E+01
   254    5.39894E+03    2.76687E+00    2.08203E-02    7.06766E+01
   255    5.32409E+03    2.83832E+00    2.12710E-02    7.11345E+01
   256    5.32450E+03    2.90349E+00    2.15521E-02    7.29719E+01
   257    5.25004E+03    3.01242E+00    2.15381E-02    7.36305E+01
   258    5.30959E+03    3.09886E+00    2.16211E-02    7.55696E+01
   259    5.29215E+03    3.22108E+00    2.16359E-02    7.79560E+01
   260    5.28429E+03    3.34835E+00    2.19841E-02    8.04041E+01
   261    5.24690E+03    3.40135E+00    2.21709E-02    7.99985E+01
   262    5.17600E+03    3.51972E+00    2.21588E-02    8.14538E+01
   263    5.16917E+03    3.64015E+00    2.25194E-02    8.36673E+01
   264    5.11685E+03    3.77314E+00    2.25877E-02    8.47198E+01
   265    5.06827E+03    3.84844E+00    2.26795E-02    8.51998E+01
   266    5.12611E+03    3.98081E+00    2.29973E-02    8.78160E+01
   267    5.06972E+03    4.13510E+00    2.31119E-02    8.95032E+01
   268    5.08260E+03    4.18515E+00    2.31644E-02    8.95997E+01
   269    5.03905E+03    4.34817E+00    2.31679E-02    9.14531E+01
   270    4.98440E+03    4.52530E+00    2.34080E-02    9.36181E+01
   271    4.96566E+03    4.62173E+00    2.38968E-02    9.49824E+01
   272    4.96268E+03    4.73414E+00    2.38184E-02    9.57750E+01
   273    4.90956E+03    4.87856E+00    2.37488E-02    9.69725E+01
   274    4.88519E+03    4.94753E+00    2.41746E-02    9.63220E+01
   275    4.88941E+03    5.16447E+00    2.43222E-02    9.97696E+01
   276    4.81255E+03    5.27988E+00    2.42978E-02    9.95787E+01
   277    4.77193E+03    5.42498E+00    2.46016E-02    1.00044E+02
   278    4.73896E+03    5.58650E+00    2.45363E-02    1.02348E+02
   279    4.72523E+03    5.68660E+00    2.52772E-02    1.03526E+02
   280    4.76227E+03    5.83563E+00    2.47481E-02    1.04987E+02
   281    4.64712E+03    5.94085E+00    2.51564E-02    1.04396E+02
   282    4.65696E+03    6.17564E+00    2.49521E-02    1.06748E+02
   283    4.59451E+03    6.30113E+00    2.51474E-02    1.07081E+02
   284    4.56650E+03    6.43802E+00    2.59982E-02    1.07966E+02
   285    4.55647E+03    6.48299E+00    2.57085E-02    1.08196E+02
   286    4.51554E+03    6.71052E+00    2.55990E-02    1.09453E+02
   287    4.50115E+03    6.86985E+00    2.61332E-02    1.10848E+02
   288    4.40712E+03    7.02265E+00    2.58917E-02    1.10642E+02
   289    4.48425E+03    7.26379E+00    2.62600E-02    1.13520E+02
   290    4.33404E+03    7.41414E+00    2.63265E-02    1.12019E+02
   291    4.35499E+03    7.51437E+00    2.62904E-02    1.13267E+02
   292    4.35390E+03    7.71441E+00    2.63882E-02    1.14579E+02
   293    4.25830E+03    7.82234E+00    2.68354E-02    1.13962E+02
   294    4.27726E+03    8.06803E+00    2.69904E-02    1.16476E+02
   295    4.20312E+03    8.14803E+00    2.69097E-02    1.14341E+02
   296    4.18788E+03    8.42920E+00    2.71991E-02    1.16768E+02
   297    4.15507E+03    8.57400E+00    2.71383E-02    1.17241E+02
   298    4.14712E+03    8.74265E+00    2.74364E-02    1.17981E+02
   299    4.07060E+03    8.90427E+00    2.76899E-02    1.16668E+02
   300    4.07573E+03    9.11242E+00    2.76157E-02    1.18934E+02
   301    4.05836E+03    9.28542E+00    2.79120E-02    1.18885E+02
   302    3.99241E+03    9.54450E+00    2.79429E-02    1.19342E+02
   303    3.98493E+03    9.70739E+00    2.81680E-02    1.20236E+02
   304    3.92630E+03    9.83239E+00    2.80905E-02    1.19446E+02
   305    3.88409E+03    9.91987E+00    2.81153E-02    1.19089E+02
   306    3.88198E+03    1.01742E+01    2.83416E-02    1.20423E+02
   307    3.80385E+03    1.03685E+01    2.88493E-02    1.20154E+02
   308    3.78540E+03    1.04670E+01    2.87124E-02    1.18682E+02
   309    3.77163E+03    1.07628E+01    2.86161E-02    1.19887E+02
   310    3.73229E+03    1.09524E+01    2.89202E-02    1.19789E+02
   311    3.67350E+03    1.11355E+01    2.92129E-02    1.19699E+02
   312    3.68773E+03    1.13143E+01    2.90152E-02    1.20268E+02
   313    3.62335E+03    1.14248E+01    2.93658E-02    1.19559E+02
   314    3.61251E+03    1.17444E+01    2.97366E-02    1.20640E+02
